db_id,question
department_management,How many heads of the departments are older than 56 ?
department_management,"List the name, born state and age of the heads of departments ordered by age."
department_management,"List the creation year, name and budget of each department."
department_management,What are the maximum and minimum budget of the departments?
department_management,What is the average number of employees of the departments whose rank is between 10 and 15?
department_management,What are the names of the heads who are born outside the California state?
department_management,What are the names of the states where at least 3 heads were born?
department_management,Show the name and number of employees for the departments managed by heads whose temporary acting value is 'Yes'?
department_management,How many acting statuses are there?
department_management,What are the distinct ages of the heads who are acting?
department_management,"Which department has more than 1 head at a time? List the id, name and the number of heads."
department_management,Which head's name has the substring 'Ha'? List the id and name.
farm,How many farms are there?
farm,Count the number of farms.
farm,List the total number of horses on farms in ascending order.
farm,"What is the total horses record for each farm, sorted ascending?"
farm,"What are the hosts of competitions whose theme is not ""Aliens""?"
farm,Return the hosts of competitions for which the theme is not Aliens?
farm,What are the themes of farm competitions sorted by year in ascending order?
farm,"Return the themes of farm competitions, sorted by year ascending."
farm,What is the average number of working horses of farms with more than 5000 total number of horses?
farm,Give the average number of working horses on farms with more than 5000 total horses.
farm,What are the maximum and minimum number of cows across all farms.
farm,Return the maximum and minimum number of cows across all farms.
farm,How many different statuses do cities have?
farm,Count the number of different statuses.
farm,List official names of cities in descending order of population.
farm,"What are the official names of cities, ordered descending by population?"
farm,List the official name and status of the city with the largest population.
farm,What is the official name and status of the city with the most residents?
farm,Show the years and the official names of the host cities of competitions.
farm,Give the years and official names of the cities of each competition.
farm,Show the official names of the cities that have hosted more than one competition.
farm,What are the official names of cities that have hosted more than one competition?
farm,Please show the themes of competitions with host cities having populations larger than 1000.
farm,What are the themes of competitions that have corresponding host cities with more than 1000 residents?
farm,Please show the different statuses of cities and the average population of cities with each status.
farm,What are the statuses and average populations of each city?
farm,"Please show the different statuses, ordered by the number of cities that have each."
farm,"Return the different statuses of cities, ascending by frequency."
farm,Find the official names of cities with population bigger than 1500 or smaller than 500.
farm,What are the official names of cities that have population over 1500 or less than 500?
farm,"Show the census ranking of cities whose status are not ""Village""."
farm,"What are the census rankings of cities that do not have the status ""Village""?"
student_assessment,what are the first name and last name of all candidates?
student_assessment,What are the first and last names of all the candidates?
student_assessment,List the id of students who attended some courses?
student_assessment,What are the ids of all students who have attended at least one course?
student_assessment,What are the ids of all students for courses and what are the names of those courses?
student_assessment,How many students attend course English?
student_assessment,How many students are attending English courses?
student_assessment,How many courses do the student whose id is 171 attend?
student_assessment,How many courses does the student with id 171 actually attend?
student_assessment,Find id of the candidate whose email is stanley.monahan@example.org?
student_assessment,What is the id of the candidate whose email is stanley.monahan@example.org?
student_assessment,Find id of the candidate who most recently accessed the course?
student_assessment,What is the id of the candidate who most recently accessed the course?
student_assessment,List the id of students who registered some courses and the number of their registered courses?
student_assessment,"For every student who is registered for some course, how many courses are they registered for?"
student_assessment,"Find id of candidates whose assessment code is ""Pass""?"
student_assessment,What are the ids of the candidates that have an outcome code of Pass?
student_assessment,What are the id of students who registered course 301?
student_assessment,What are the ids of the students who registered for course 301?
student_assessment,Find distinct cities of addresses of people?
student_assessment,What are the different cities where people live?
student_assessment,Find distinct cities of address of students?
student_assessment,What are the different cities where students live?
student_assessment,List the names of courses in alphabetical order?
student_assessment,What are the names of the courses in alphabetical order?
student_assessment,List the first names of people in alphabetical order?
student_assessment,What are the first names of the people in alphabetical order?
bike_1,Give me the dates when the max temperature was higher than 85.
bike_1,What are the dates with a maximum temperature higher than 85?
bike_1,What are the names of stations that have latitude lower than 37.5?
bike_1,What are the names of all stations with a latitude smaller than 37.5?
bike_1,"For each city, return the highest latitude among its stations."
bike_1,"For each city, what is the highest latitude for its stations?"
bike_1,Give me the start station and end station for the trips with the three oldest id.
bike_1,What is the station station and end station for the trips with the three smallest ids?
bike_1,What is the average latitude and longitude of stations located in San Jose city?
bike_1,What is the average latitude and longitude in San Jose?
bike_1,What is the id of the trip that has the shortest duration?
bike_1,What is the id of the shortest trip?
bike_1,What is the total and maximum duration of trips with bike id 636?
bike_1,What is the total and maximum duration for all trips with the bike id 636?
bike_1,"From the trip record, find the number of unique bikes."
bike_1,How many different bike ids are there?
bike_1,What is the number of distinct cities the stations are located at?
bike_1,How many different cities have these stations?
bike_1,How many stations does Mountain View city has?
bike_1,How many stations are in Mountain View?
bike_1,Return the unique name for stations that have ever had 7 bikes available.
bike_1,What are the different names for each station that has ever had 7 bikes available?
bike_1,How many days had both mean humidity above 50 and mean visibility above 8?
bike_1,What is the number of days that had an average humity above 50 and an average visibility above 8?
bike_1,When and in what zip code did max temperature reach 80?
