db_id,query,question
department_management,SELECT count(*) FROM head WHERE age  >  56,How many heads of the departments are older than 56 ?
department_management,"SELECT name ,  born_state ,  age FROM head ORDER BY age","List the name, born state and age of the heads of departments ordered by age."
department_management,"SELECT creation ,  name ,  budget_in_billions FROM department","List the creation year, name and budget of each department."
department_management,"SELECT max(budget_in_billions) ,  min(budget_in_billions) FROM department",What are the maximum and minimum budget of the departments?
department_management,SELECT avg(num_employees) FROM department WHERE ranking BETWEEN 10 AND 15,What is the average number of employees of the departments whose rank is between 10 and 15?
department_management,SELECT name FROM head WHERE born_state != 'California',What are the names of the heads who are born outside the California state?
department_management,SELECT DISTINCT T1.creation FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id JOIN head AS T3 ON T2.head_id  =  T3.head_id WHERE T3.born_state  =  'Alabama',What are the distinct creation years of the departments managed by a secretary born in state 'Alabama'?
department_management,SELECT born_state FROM head GROUP BY born_state HAVING count(*)  >=  3,What are the names of the states where at least 3 heads were born?
department_management,SELECT creation FROM department GROUP BY creation ORDER BY count(*) DESC LIMIT 1,In which year were most departments established?
department_management,"SELECT T1.name ,  T1.num_employees FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id WHERE T2.temporary_acting  =  'Yes'",Show the name and number of employees for the departments managed by heads whose temporary acting value is 'Yes'?
department_management,SELECT count(DISTINCT temporary_acting) FROM management,How many acting statuses are there?
department_management,SELECT count(*) FROM department WHERE department_id NOT IN (SELECT department_id FROM management);,How many departments are led by heads who are not mentioned?
department_management,SELECT DISTINCT T1.age FROM management AS T2 JOIN head AS T1 ON T1.head_id  =  T2.head_id WHERE T2.temporary_acting  =  'Yes',What are the distinct ages of the heads who are acting?
department_management,SELECT T3.born_state FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id JOIN head AS T3 ON T2.head_id  =  T3.head_id WHERE T1.name  =  'Treasury' INTERSECT SELECT T3.born_state FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id JOIN head AS T3 ON T2.head_id  =  T3.head_id WHERE T1.name  =  'Homeland Security',List the states where both the secretary of 'Treasury' department and the secretary of 'Homeland Security' were born.
department_management,"SELECT T1.department_id ,  T1.name ,  count(*) FROM management AS T2 JOIN department AS T1 ON T1.department_id  =  T2.department_id GROUP BY T1.department_id HAVING count(*)  >  1","Which department has more than 1 head at a time? List the id, name and the number of heads."
department_management,"SELECT head_id ,  name FROM head WHERE name LIKE '%Ha%'",Which head's name has the substring 'Ha'? List the id and name.
farm,SELECT count(*) FROM farm,How many farms are there?
farm,SELECT count(*) FROM farm,Count the number of farms.
farm,SELECT Total_Horses FROM farm ORDER BY Total_Horses ASC,List the total number of horses on farms in ascending order.
farm,SELECT Total_Horses FROM farm ORDER BY Total_Horses ASC,"What is the total horses record for each farm, sorted ascending?"
farm,SELECT Hosts FROM farm_competition WHERE Theme !=  'Aliens',"What are the hosts of competitions whose theme is not ""Aliens""?"
farm,SELECT Hosts FROM farm_competition WHERE Theme !=  'Aliens',Return the hosts of competitions for which the theme is not Aliens?
farm,SELECT Theme FROM farm_competition ORDER BY YEAR ASC,What are the themes of farm competitions sorted by year in ascending order?
farm,SELECT Theme FROM farm_competition ORDER BY YEAR ASC,"Return the themes of farm competitions, sorted by year ascending."
farm,SELECT avg(Working_Horses) FROM farm WHERE Total_Horses  >  5000,What is the average number of working horses of farms with more than 5000 total number of horses?
farm,SELECT avg(Working_Horses) FROM farm WHERE Total_Horses  >  5000,Give the average number of working horses on farms with more than 5000 total horses.
farm,"SELECT max(Cows) ,  min(Cows) FROM farm",What are the maximum and minimum number of cows across all farms.
farm,"SELECT max(Cows) ,  min(Cows) FROM farm",Return the maximum and minimum number of cows across all farms.
farm,SELECT count(DISTINCT Status) FROM city,How many different statuses do cities have?
farm,SELECT count(DISTINCT Status) FROM city,Count the number of different statuses.
farm,SELECT Official_Name FROM city ORDER BY Population DESC,List official names of cities in descending order of population.
farm,SELECT Official_Name FROM city ORDER BY Population DESC,"What are the official names of cities, ordered descending by population?"
farm,"SELECT Official_Name ,  Status FROM city ORDER BY Population DESC LIMIT 1",List the official name and status of the city with the largest population.
farm,"SELECT Official_Name ,  Status FROM city ORDER BY Population DESC LIMIT 1",What is the official name and status of the city with the most residents?
farm,"SELECT T2.Year ,  T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID",Show the years and the official names of the host cities of competitions.
farm,"SELECT T2.Year ,  T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID",Give the years and official names of the cities of each competition.
farm,SELECT T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID GROUP BY T2.Host_city_ID HAVING COUNT(*)  >  1,Show the official names of the cities that have hosted more than one competition.
farm,SELECT T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID GROUP BY T2.Host_city_ID HAVING COUNT(*)  >  1,What are the official names of cities that have hosted more than one competition?
farm,SELECT T1.Status FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID GROUP BY T2.Host_city_ID ORDER BY COUNT(*) DESC LIMIT 1,Show the status of the city that has hosted the greatest number of competitions.
farm,SELECT T1.Status FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID GROUP BY T2.Host_city_ID ORDER BY COUNT(*) DESC LIMIT 1,What is the status of the city that has hosted the most competitions?
farm,SELECT T2.Theme FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID WHERE T1.Population  >  1000,Please show the themes of competitions with host cities having populations larger than 1000.
farm,SELECT T2.Theme FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID WHERE T1.Population  >  1000,What are the themes of competitions that have corresponding host cities with more than 1000 residents?
farm,"SELECT Status ,  avg(Population) FROM city GROUP BY Status",Please show the different statuses of cities and the average population of cities with each status.
farm,"SELECT Status ,  avg(Population) FROM city GROUP BY Status",What are the statuses and average populations of each city?
farm,SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) ASC,"Please show the different statuses, ordered by the number of cities that have each."
farm,SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) ASC,"Return the different statuses of cities, ascending by frequency."
farm,SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) DESC LIMIT 1,List the most common type of Status across cities.
farm,SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) DESC LIMIT 1,What is the most common status across all cities?
farm,SELECT Official_Name FROM city WHERE City_ID NOT IN (SELECT Host_city_ID FROM farm_competition),List the official names of cities that have not held any competition.
farm,SELECT Official_Name FROM city WHERE City_ID NOT IN (SELECT Host_city_ID FROM farm_competition),What are the official names of cities that have not hosted a farm competition?
farm,SELECT Status FROM city WHERE Population  >  1500 INTERSECT SELECT Status FROM city WHERE Population  <  500,Show the status shared by cities with population bigger than 1500 and smaller than 500.
farm,SELECT Status FROM city WHERE Population  >  1500 INTERSECT SELECT Status FROM city WHERE Population  <  500,Which statuses correspond to both cities that have a population over 1500 and cities that have a population lower than 500?
farm,SELECT Official_Name FROM city WHERE Population  >  1500 OR Population  <  500,Find the official names of cities with population bigger than 1500 or smaller than 500.
farm,SELECT Official_Name FROM city WHERE Population  >  1500 OR Population  <  500,What are the official names of cities that have population over 1500 or less than 500?
farm,"SELECT Census_Ranking FROM city WHERE Status !=  ""Village""","Show the census ranking of cities whose status are not ""Village""."
farm,"SELECT Census_Ranking FROM city WHERE Status !=  ""Village""","What are the census rankings of cities that do not have the status ""Village""?"
